playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary,ppdollar,overallRank
2558178,Zane Gonzalez,ARI,K,NA,2,12,5.889806667,5.1,6.683446809,0.924925198,29,3.170984602,4,1.583446809,NA,29,1.9,4.107336396,NA,NA,NA,NA
2540148,Tyler Eifert,CIN,TE,29,6,9,5.888690217,5.200914736,6.518984472,0.691573096,18,0.432684364,6,1.318069736,NA,18.6,2.5,3.116525275,NA,4900,0.001201774,NA
100025,Eagles,PHI,DST,NA,NA,10,5.866249714,3.96,6.41922913,1.032232418,26,0.183878632,4,2.45922913,NA,NA,NA,5.24935568,NA,4100,0.001430793,NA
100017,Rams,LAR,DST,NA,NA,9,5.826722286,5.10244,5.991901163,0.365453181,27,0.539407112,4,0.889461163,NA,NA,NA,2.186770331,NA,3600,0.001618534,NA
2550617,Taylor Gabriel,CHI,WR,28,5,6,5.812770317,5.166334103,6.266979532,0.512644994,70,0.214924609,8,1.100645429,NA,75.6,5.8,3.722470552,NA,4800,0.001210994,NA
2558204,Jamaal Williams,GB,RB,NA,2,11,5.725545221,4.497466468,6.622245194,0.933535175,54,0.172195133,10,2.124778726,NA,57.6,3.7,3.740185368,NA,4800,0.001192822,NA
2495438,Kyle Rudolph,MIN,TE,30,8,12,5.682134551,4.503032258,6.441148593,0.840406547,19,0.529771578,6,1.938116335,NA,20,2.3,2.994397952,NA,4900,0.001159619,NA
2560742,Nyheim Hines,IND,RB,23,1,6,5.621448222,5.11808,5.968508744,0.404401591,56,0.183397824,11,0.850428744,NA,56.6,3.2,3.440941988,NA,5300,0.001060651,NA
2556190,Jakeem Grant,MIA,WR,27,3,5,5.617651294,4.487,6.454365236,0.954441862,71,0.067055501,8,1.967365236,NA,94.5,13.1,6.735706407,NA,4500,0.001248367,NA
2560878,Tre'Quan Smith,NO,WR,NA,1,9,5.578040121,4.819625126,6.407823909,1.121385854,73,0.066686291,8,1.588198783,NA,69.7,7.8,4.548014622,NA,5200,0.0010727,NA
100001,Falcons,ATL,DST,NA,NA,9,5.538019879,3.56,5.564418322,0.96822808,28,1.266216808,5,2.004418322,NA,NA,NA,4.955377202,NA,3300,0.001678188,NA
2553895,Adam Humphries,TEN,WR,NA,NA,11,5.523151465,4.34781407,6.21791512,0.829692786,74,0.044302254,8,1.87010105,NA,77.7,8.4,4.795677843,NA,4800,0.001150657,NA
2550198,Bennie Fowler,NYG,WR,28,5,11,5.499556195,3.952314573,6.984824872,1.701770837,75,0.051076232,8,3.032510299,NA,87.3,14.1,7.148478441,NA,4900,0.001122358,NA
2561324,Gus Edwards,BAL,RB,24,1,8,5.485251955,4.437973174,6.472247354,0.932209649,57,0.163424796,11,2.03427418,NA,54.2,6.4,5.356099623,NA,5200,0.001054856,NA
2562238,A.J. Brown,TEN,WR,NA,0,11,5.458142227,4.705973174,5.974819954,0.581723716,76,0.108567616,8,1.26884678,NA,55.8,7.2,4.300351401,NA,5400,0.001010767,NA
2562677,KeeSean Johnson,ARI,WR,49,0,12,5.4388177,3.41,7.767625742,2.238341763,77,0.188766982,8,4.357625742,NA,73.8,10.9,5.82760793,NA,4900,0.001109963,NA
2561153,Jason Sanders,MIA,K,NA,1,5,5.43764413,4.1,6.868553191,1.393380481,31,5.43764413,4,2.768553191,NA,31,0.7,3.45639331,NA,NA,NA,NA
